country,continent,region
Afghanistan,Asia,
Albania,Europe,Council of Europe
Algeria,Africa,
American Samoa,Oceania,
Andorra,Europe,Council of Europe
Angola,Africa,
Anguilla,Caribbean,
Antarctica,Antarctica,
Antigua and Barbuda,Caribbean,CARICOM+OAS
Argentina,South America,Mercosul+OAS
Armenia,Asia,Council of Europe
Aruba,Caribbean,
Australia,Oceania,Trans-Pacific Partnership
Austria,Europe,Council of Europe+European Union
Azerbaijan,Asia,Council of Europe
Bahamas,Caribbean,CARICOM+OAS
Bahrain,Asia,
Bangladesh,Asia,Council of Europe
Barbados,Caribbean,CARICOM+OAS
Belarus,Europe,
Belgium,Europe,Council of Europe+European Union
Belize,Central America,CARICOM+OAS+SICA
Benin,Africa,
Bermuda,North America,
Bhutan,Asia,
Bolivia,South America,OAS+Comunidad Andina
Bosnia and Herzegovina,Europe,Council of Europe
Botswana,Africa,
Bouvet Island,Antarctica,
Brazil,South America,Mercosul+OAS
British Indian Ocean Territory,Asia,
British Virgin Islands,Caribbean,
Brunei,Asia,Trans-Pacific Partnership
Bulgaria,Europe,Council of Europe+European Union
Burkina Faso,Africa,
Burundi,Africa,
Cambodia,Asia,
Cameroon,Africa,
Canada,North America,Trans-Pacific Partnership+OAS+NAFTA
Cape Verde,Africa,
Cayman Islands,Caribbean,
Central African Republic,Africa,
Chad,Africa,
Chile,South America,Trans-Pacific Partnership+OAS
China,Asia,
Christmas Island,Asia,
Cocos Islands,Asia,
Colombia,South America,OAS+Comunidad Andina
Comoros,Africa,
Cook Islands,Oceania,
Costa Rica,Central America,OAS+SICA+CAFTA-DR
Croatia,Europe,Council of Europe+European Union
Cuba,Caribbean,OAS
Cyprus,Asia,Council of Europe+European Union
Czech Republic,Europe,Council of Europe+European Union
Democratic Republic of the Congo,Africa,
Denmark,Europe,Council of Europe+European Union
Djibouti,Africa,
Dominica,Caribbean,CARICOM+OAS
Dominican Republic,Caribbean,OAS+SICA+CAFTA-DR
East Timor,Asia,
Ecuador,South America,OAS+Comunidad Andina
Egypt,Middle East,
El Salvador,Central America,OAS+SICA+CAFTA-DR
Equatorial Guinea,Africa,
Eritrea,Africa,
Estonia,Europe,Council of Europe+European Union
Ethiopia,Africa,
Falkland Islands,South America,
Faroe Islands,Europe,
Fiji,Oceania,
Finland,Europe,Council of Europe+European Union
France,Europe,Council of Europe+European Union
French Guiana,South America,
French Polynesia,Oceania,
French Southern Territories,Antarctica,
Gabon,Africa,
Gambia,Africa,
Georgia,Asia,Council of Europe
Germany,Europe,Council of Europe+European Union
Ghana,Africa,
Gibraltar,Europe,
Greece,Europe,Council of Europe+European Union
Greenland,North America,
Grenada,Caribbean,CARICOM+OAS
Guadeloupe,Caribbean,
Guam,Oceania,
Guatemala,Central America,OAS+SICA+CAFTA-DR
Guinea,Africa,
Guinea-Bissau,Africa,
Guyana,South America,CARICOM+OAS
Haiti,Caribbean,CARICOM+OAS
Heard Island and McDonald Islands,Antarctica,
Honduras,Central America,OAS+SICA+CAFTA-DR
Hong Kong,Asia,
Hungary,Europe,Council of Europe+European Union
Iceland,Europe,Council of Europe
India,Asia,
Indonesia,Asia,
Iran,Asia,
Iraq,Asia,
Ireland,Europe,Council of Europe+European Union
Israel,Asia,
Italy,Europe,Council of Europe+European Union
Ivory Coast,Africa,
Jamaica,Caribbean,CARICOM+OAS
Japan,Asia,Trans-Pacific Partnership
Jordan,Asia,
Kazakhstan,Asia,
Kenya,Africa,
Kiribati,Oceania,
Kuwait,Asia,
Kyrgyzstan,Asia,
Laos,Asia,
Kosovo,Europe,
